
Network Stats for the last 473 seconds:

Total Sent Spatial Packets: 31
Total Requested to Send Spatial Packets: 31
Total Sent Actor Motion Hints Packets: 0
Percentage of Usual Bandwidth Used: 100.00%


Total Sent: 7537, 0B (3.70MB)
36  PlayerActionPacket                7.38KB, Num 419, Avg 18B
44  AnimatePacket                     2.62KB, Num 895, Avg 3B
31  MobEquipmentPacket                1.72KB, Num 53, Avg 33B
56  BlockActorDataPacket              1.65KB, Num 5, Avg 338B
33  InteractPacket                    0.76KB, Num 54, Avg 14B
77  CommandRequestPacket              0.52KB, Num 6, Avg 89B
84  ResourcePackChunkRequestPacket    392B, Num 8, Avg 49B
147 ItemStackRequestPacket            101B, Num 4, Avg 25B
34  BlockPickRequestPacket            72B, Num 9, Avg 8B
8   ResourcePackClientResponsePacket  56B, Num 3, Avg 18B
101 ModalFormResponsePacket           28B, Num 4, Avg 7B
47  ContainerClosePacket              12B, Num 3, Avg 4B
312 ServerboundLoadingScreenPacket    8B, Num 2, Avg 4B
307 SetPlayerInventoryOptionsPacket   7B, Num 1, Avg 7B
193 RequestNetworkSettingsPacket      6B, Num 1, Avg 6B
69  RequestChunkRadiusPacket          3B, Num 1, Avg 3B
129 ClientCacheStatusPacket           3B, Num 1, Avg 3B
113 SetLocalPlayerAsInitializedPacket 2B, Num 1, Avg 2B
4   ClientToServerHandshakePacket     1B, Num 1, Avg 1B

